site,y.1,y.2,y.3,y.4
GT2_R2_FW16,1,NA,NA,NA
GT2_R2_FW13,1,NA,1,0
GT2_R2_FW19,1,NA,NA,NA
GT2_R2_SW4,1,0,0,0
GT2_R2_FW25,0,NA,NA,NA
GT2_R2_SW1,0,0,NA,NA
GT2_R2_FW7,1,1,NA,NA
GT2_R2_FW10,1,1,NA,NA
GT2_R2_FW1,1,NA,NA,NA
GT2_R2_SW7,0,0,NA,NA
GT2_R2_FW22,0,NA,NA,NA
GT2_R2_SW10,0,0,1,1
GT2_R2_FW4,1,1,1,0
ST2_R2_SW14,0,NA,NA,NA
ST2_R2_SW19,0,NA,0,0
ST2_R2_FW2,1,NA,NA,NA
ST2_R2_FW8,0,NA,0,0
ST2_R2_SW10,0,NA,NA,NA
ST2_R2_SW2,0,0,0,0
ST2_R2_SW5,0,NA,NA,NA
ST2_R2_FW5,0,NA,NA,NA
ST2_R2_SW8,0,0,0,0
ST2_R2_FW13,0,0,NA,NA
ST2_R2_FW14,0,NA,NA,NA
ST2_R1_FW5,0,0,NA,NA
ST2_R1_FW17,0,0,1,0
ST2_R1_SW5,0,0,0,0
ST2_R1_SW8,0,0,NA,NA
ST2_R1_FW24,0,0,NA,NA
ST2_R1_FW21,0,NA,NA,NA
ST2_R1_SW2,0,NA,NA,NA
ST2_R1_FW3,0,NA,0,0
ST2_R1_FW7,0,NA,NA,NA
ST2_R1_FW11,0,NA,NA,NA
ST2_R1_SW12,0,NA,NA,NA
ST2_R1_SW14,0,NA,0,0
ST2_R3_SW13,0,0,1,0
ST2_R3_SW14,0,NA,NA,NA
ST2_R3_SW9,0,NA,NA,NA
ST2_R3_FW4,0,NA,0,1
ST2_R3_SW3,0,NA,NA,NA
ST2_R3_SW6,0,NA,0,0
ST2_R3_FW8,0,NA,1,0
ST2_R3_SW21,0,0,NA,NA
ST2_R3_FW13,0,0,NA,NA
ST2_R3_SW19,0,NA,NA,NA
ST2_R3_FW12,1,NA,NA,NA
ST2_R4_FW14,0,NA,NA,NA
ST2_R4_FW7,0,0,0,0
ST2_R4_FW9,0,NA,NA,NA
ST2_R4_SW2,0,0,0,0
ST2_R4_FW12,0,0,0,0
ST2_R4_SW12,0,NA,0,0
ST2_R4_FW4,0,NA,NA,NA
ST2_R4_SW6,0,NA,NA,NA
ST2_R4_SW8,0,NA,NA,NA
GT2_R3_FW25,1,NA,NA,NA
GT2_R3_SW13,0,NA,NA,NA
GT2_R3_FW23,1,NA,NA,NA
GT2_R3_SW11,0,1,0,0
GT2_R3_FW20,1,1,1,1
GT2_R3_SW4,0,NA,0,0
GT2_R3_FW13,0,NA,1,0
GT2_R3_FW18,0,NA,NA,NA
GT2_R3_FW7,0,NA,NA,NA
GT2_R3_SW1,0,NA,NA,NA
GT2_R3_SW7,0,0,NA,NA
GT2_R3_FW10,1,1,NA,NA
GT2_R3_FW1,0,NA,NA,NA
GT2_R3_FW4,1,1,NA,NA
GT2_R4_FW1,0,0,NA,NA
GT2_R4_SW1,0,0,NA,NA
GT2_R4_FW4,0,NA,NA,NA
GT2_R4_SW4,0,NA,NA,NA
GT2_R4_SW13,0,0,NA,NA
GT2_R4_FW18,0,0,NA,NA
GT2_R4_SW7,0,0,NA,NA
GT2_R4_SW9,0,NA,NA,NA
GT2_R4_FW7,0,NA,1,1
GT2_R4_FW10,0,NA,NA,NA
GT2_R4_SW17,0,NA,0,0
GT2_R4_FW15,1,NA,1,1
GT2_R4_SW19,0,NA,0,0
GT2_R4_SW22,0,NA,NA,NA
GT2_R1_FW22,1,NA,NA,NA
GT2_R1_SW4,0,NA,NA,NA
GT2_R1_SW7,1,NA,0,0
GT2_R1_FW14,1,NA,NA,NA
GT2_R1_SW1,0,NA,NA,NA
GT2_R1_FW1,0,NA,NA,NA
GT2_R1_SW13,0,NA,0,0
GT2_R1_FW4,1,1,1,1
GT2_R1_FW17,1,1,NA,NA
GT2_R1_SW10,0,0,NA,NA
GT2_R1_FW19,0,0,0,0
GT2_R1_FW25,1,0,NA,NA
GT2_R1_FW7,1,NA,NA,NA
GT2_R1_FW10,1,NA,NA,NA
